Stock,Model,Variant,RMSE,MAE,R2,MAPE%,n_obs,n_test
GOOG,CNN,only_score,6.783243727508654,5.624448013305662,-1.1196938429005479,5.545593893409319,233,20
GOOG,CNN,only_score_bert,7.514702511855674,6.1434684753417965,-1.6014883165252685,6.057989390664916,233,20
GOOG,CNN,score_bert_plus_topic_bert,5.251824824124929,4.672466659545898,-0.2706289844123675,4.557712163340843,233,20
GOOG,CNN,score_plus_topic_vader,7.578444969241496,6.610986709594727,-1.6458090472959839,6.471930128791261,233,20
GOOG,CNN-LSTM,no_scores,8.308502672839447,6.529228591918942,-2.1801223006846184,6.465016040835062,233,20
GOOG,CNN-LSTM,only_score,4.15628196984922,3.507746887207029,0.20419199943846522,3.4405190843959925,233,20
GOOG,CNN-LSTM,only_score_bert,7.402908580109962,6.030130767822262,-1.524660974970241,5.959487011514222,233,20
GOOG,CNN-LSTM,score_bert_plus_topic_bert,6.071918681623938,5.127515792846676,-0.6984399155218,5.048289306790965,233,20
GOOG,CNN-LSTM,score_plus_topic_vader,13.506278434220556,10.163727951049802,-7.403683576507802,10.094009177028806,233,20
GOOG,LSTM,no_scores,5.383613417633068,4.477154541015623,-0.33519909164474115,4.406741430711052,233,20
GOOG,LSTM,only_score,3.7869898903873263,3.3916130065917947,0.33932695843166183,3.304550926953868,233,20
GOOG,LSTM,only_score_bert,5.560465703693202,4.81968231201172,-0.4243628152025063,4.721998209962185,233,20
GOOG,LSTM,score_bert_plus_topic_bert,9.706821618652725,8.395505142211912,-3.340626244439698,8.242300906004813,233,20
GOOG,LSTM,score_plus_topic_vader,3.8797894767153753,3.4003021240234355,0.3065508566047964,3.3293123435015817,233,20
INTC,CNN,no_scores,1.5932403180554242,1.447719192504883,0.04479084885905826,5.07111065909676,233,20
INTC,CNN,only_score,3.0651418666745984,2.896680450439453,-2.535387798778048,10.261970615803351,233,20
INTC,CNN,only_score_bert,4.678370459116325,4.502964019775391,-7.236166465255204,15.906274217533761,233,20
INTC,CNN,score_bert_plus_topic_bert,0.9550153076687317,0.8359846115112303,0.6567926625387269,2.856003752462502,233,20
INTC,CNN,score_plus_topic_vader,2.158016668357252,1.8635679244995118,-0.7524494041634886,6.385903016790981,233,20
INTC,CNN-LSTM,no_scores,3.2738972086409905,2.912164497375488,-3.033350627183677,10.43157515619481,233,20
INTC,CNN-LSTM,only_score,2.4258513766648493,2.1219198226928717,-1.2144418363805727,7.557130829215105,233,20
INTC,CNN-LSTM,only_score_bert,3.714554766119307,3.3955710411071776,-4.192176295353909,12.110431924412774,233,20
INTC,CNN-LSTM,score_bert_plus_topic_bert,2.0851381826165047,1.8470317840576171,-0.6360839362632946,6.59426330002366,233,20
INTC,CNN-LSTM,score_plus_topic_vader,0.7821742929341577,0.6410820007324209,0.7697800395517921,2.2424863339796453,233,20
INTC,LSTM,no_scores,0.6140952410567919,0.49913368225097604,0.8580918422452571,1.7148052023566043,233,20
INTC,LSTM,only_score,2.1961249752200924,1.8277907371520996,-0.8148887155786348,6.550416775097507,233,20
INTC,LSTM,only_score_bert,0.598103984189986,0.489568614959717,0.8653862913750608,1.6662037359021158,233,20
INTC,LSTM,score_bert_plus_topic_bert,0.6695322700843644,0.49908285140991265,0.831314044158864,1.7418515085644792,233,20
INTC,LSTM,score_plus_topic_vader,0.8070861871720381,0.6550398826599115,0.7548817046059492,2.299707113808697,233,20
KO,CNN,no_scores,1.1159319137494186,0.9151599884033221,0.5645700568922635,1.5659445844516755,233,20
KO,CNN,only_score,1.4500943778282143,1.2474653244018588,0.26474932385520256,2.1254169966433043,233,20
KO,CNN,only_score_bert,1.3598564641801358,1.1541870117187525,0.35340992324285636,1.975128301218832,233,20
KO,CNN,score_bert_plus_topic_bert,1.155744685243417,0.9432653427124027,0.5329464202978406,1.6090398906877301,233,20
KO,CNN,score_plus_topic_vader,1.5912665921099425,1.4265676498413125,0.11462188003701979,2.4251294856305874,233,20
KO,CNN-LSTM,no_scores,0.8248169241722324,0.6589744567871112,0.7621199494435691,1.122329017178783,233,20
KO,CNN-LSTM,only_score,1.010406044020954,0.8154821395874035,0.6430274957895815,1.3917043728128469,233,20
KO,CNN-LSTM,only_score_bert,0.8996297693615839,0.7100782394409176,0.7170103635187531,1.2009449767583624,233,20
KO,CNN-LSTM,score_bert_plus_topic_bert,0.8012465493634808,0.6248592376708988,0.775521247857992,1.0620168079369368,233,20
KO,CNN-LSTM,score_plus_topic_vader,1.1292323482845783,0.9313699722290071,0.5541287022808121,1.589541485353158,233,20
KO,LSTM,no_scores,0.8056953707584908,0.6324741363525387,0.773021546961126,1.0719959514976796,233,20
KO,LSTM,only_score,1.3479893481651666,1.1136796951293964,0.3646459305954284,1.907125068600681,233,20
KO,LSTM,only_score_bert,0.909226362203081,0.7190410614013689,0.7109407087391506,1.2272930922138667,233,20
KO,LSTM,score_bert_plus_topic_bert,0.8255906341725157,0.6721292495727542,0.7616734588547892,1.1403421399631126,233,20
KO,LSTM,score_plus_topic_vader,1.059739485803466,0.8524599075317401,0.607317879171132,1.4568302048264596,233,20
META,CNN,no_scores,12.706514648144204,11.0813232421875,-0.3913442460730301,7.61099015869531,233,20
META,CNN,only_score,20.109760708296932,16.418335723876954,-2.4849417157147276,11.469905628177683,233,20
META,CNN,only_score_bert,14.340858069495738,12.29269790649414,-0.7722785805447689,8.486937970163849,233,20
META,CNN,score_bert_plus_topic_bert,13.803672420315056,12.894267272949218,-0.641991868696032,8.733031736588002,233,20
META,CNN,score_plus_topic_vader,16.234609438220026,13.735803985595703,-1.2712524230712194,9.496734258526848,233,20
META,CNN-LSTM,no_scores,8.789555005289534,7.426509094238281,0.33424338541002285,5.136091496678361,233,20
META,CNN-LSTM,only_score,11.481358185308814,9.909194946289062,-0.13597361754003234,6.855415491468333,233,20
META,CNN-LSTM,only_score_bert,9.927816874038815,8.499497222900391,0.15064503708787713,5.858576204676309,233,20
META,CNN-LSTM,score_bert_plus_topic_bert,11.040201254094148,9.490349578857423,-0.0503540008719654,6.549712856342854,233,20
META,CNN-LSTM,score_plus_topic_vader,12.46987037392968,10.900370788574218,-0.34000244663030177,7.517082855217256,233,20
META,LSTM,no_scores,7.093190088538677,6.0476226806640625,0.5664243233733133,4.140467881420463,233,20
META,LSTM,only_score,13.897379217901632,11.687059783935547,-0.6643609973062061,8.124840479601664,233,20
META,LSTM,only_score_bert,8.919688448010701,7.665007781982422,0.3143837788188615,5.2739941969182285,233,20
